service,function
foInvoiceUpdateVoucher,fo_inv_update_voucher_webbl
billOutstandRmNo2,bill_balance2_webbl
foParxlsGSList1,fo_parxls_gs_list_1bl
foParxlsGSListOutput,fo_parxls_gs_list_outputbl
foParxlsGSListOutput1,fo_parxls_gs_list_output_1bl
foTransDetailCustomPrepare,prepare_fo_transdetail_webbl
billListFOInvoiceCustom,fo_inv_openbill_list_webbl
mbOpenBill2,mb_web_open_bill_2bl
nsOpenBill1,ns_web_open_bill_1bl
billListFOInvoiceCustom1,fo_inv_openbill_list_web_1bl
foInvoicePrepareCustom,prepare_fo_inv_webbl
billListFOInvoice1Custom,fo_inv_openbill_list1_webbl
foInvPaywithDeposit,fo_inv_paywith_deposit_webbl
mbnsInvPaywithDeposit,mbns_inv_paywith_deposit_webbl
getGuestDepositBalance,get_guest_deposit_balance_webbl
bondsHeldReport,bonds_held_reportbl
checkGCFPayment1,check_gcfpayment1_webbl
depositAdmin1Custom,deposit_admin_1_webbl
resFixartCustom,res_fixart_webbl
fixleistDeleteCustom,delete_fixleist_webbl
paymentJournalUserListCustom,fo_cashgjourn_list_webbl
bookJournArtList2Custom,web_fo_journal_list_2_webbl
bookJournArtCreateList,fo_journal_create_list_webbl
todayCOGuestNoDUCustom,co_guest_1_webbl
bookJournArtList3,fo_journal_list_3_webbl
bondsHeldRefund,bonds_held_refundbl
todayCOGuestDUOnlyCustom,co_guest_duonly_webbl
foInvoiceReturnQty,fo_invoice_return_qty_webbl
checkGCFPayment2,check_gcfpayment2_webbl
depositAdmin2,deposit_admin_2_webbl
splitBillLeasingPrepare,prepare_split_bill_web_1bl
