service,function
baresCopyOverlappingCheck1B,copy_bares_overlapping_check1bl
depositList1,deposit_list1bl
baPlanBtnNote,ba_plan_btn_notebl
baresnoteEdit,edit_baresnotebl
baresnoteUpdate,update_baresnotebl
mainHisFsBtn,main_his_fs_btnbl
mainHisFsCreateFsl,main_his_fs_create_fsl_webbl
mainHisFsDispPage3,main_his_fs_disp_page3bl
mainHisFsProcBtnPage2,main_his_fs_proc_btn_page2bl
mainHisFsReadequipment,main_his_fs_readequipmentbl
banquetPlanLoad1,load_banquet_plan1_webbl
depositList2,deposit_list2_bl
depositList2Custom,deposit_list2_webbl
depositList3Custom,deposit_list3_webbl
baPlanBtnNoteCustom,ba_plan_btn_note_webbl
bkStatsSobSegment,bk_stats_sob_segment_webbl
bkStatsSobSegmentDetail,bk_stats_sob_segment_detail_webbl
baPlanCheckReser1Custom,ba_plan_check_reser1_webbl
