service,function
egChgReqCreateHistory,eg_chgreq_create_historybl
egSelVendorPrepare,prepare_sel_vendorbl
egMainscheduleGetInfoguest,eg_mainschedule_get_infoguestbl
egReprequestcancelPrepare,prepare_eg_reprequestcancel_webbl
egReprequestcancelOpenQuery,eg_reprequestcancel_open_querybl
egRepmaintaincancelPrepare,prepare_eg_repmaintaincancelbl
egRepmaintaincancelCreateRoom,eg_repmaintaincancel_create_roombl
egRepmaintaincancelAllLocation,eg_repmaintaincancel_all_locationbl
egMksubPrepare,prepare_eg_mksub_webbl
egMksubBtnOk,eg_mksub_btn_ok_webbl
egChgReqCalcEstimated,eg_chgreq_calc_estimatedbl
egMksubOfSubtask,eg_mksub_of_subtaskbl
egMksubMkCode,eg_mksub_mk_codebl
egSelDuration,prepare_sel_egdurbl
egSubTaskBtnDelart,egsub_task_btn_delartbl
egSubTaskPrepare,prepare_egsub_taskbl
egProbManagePrepare,prepare_eg_prob_manage_webbl
egSubTaskMkCode,egsub_task_mk_codebl
egSubTaskSubCode,egsub_task_sub_codebl
egSubTaskBtnExit,egsub_task_btn_exitbl
egSubTaskMerge,eg_mergeproblem_btn_ok_webbl
egMergeItemPrepare,prepare_eg_merge_item_webbl
egMergeItemOk,eg_merge_item_ok_webbl
egKPIPrepare,prepare_eg_kpibl
egKPI,eg_kpibl
egReprequestcancelOpenQuery1,eg_reprequestcancel_open_query_1_webbl
egRephistorypropDisp,eg_rephistoryprop_disp_webbl
egRephistorypropDetail,eg_rephistoryprop_detail_webbl
egRephistoryroomDisp2,eg_rephistoryroom_disp2_webbl
egRephistoryroomDetail,eg_rephistoryroom_detail_webbl
egRepmaintainLocation,eg_repmaintain_all_locationbl
egRepmaintainCategory,eg_repmaintain_all_categorybl
egRepmaintainMaintask,eg_repmaintain_all_maintaskbl
egMkreqGetInfoguest,eg_mkreq_get_infoguestbl
egReprequestcancelAllCategory,eg_reprequestcancel_all_category_webbl
egKPIDetail,detail_kpibl
egRepdurationMaintask,eg_repduration_all_maintaskbl
egRepdurationRoom,eg_repduration_all_roombl
egRepdurationCategory,eg_repduration_all_categorybl
egRepdurationLocation,eg_repduration_all_locationbl
egPropertyLoad,get_eg_propertybl
egMaincalendarSelectedDelete,eg_maincalendar_selected_deletebl.p
egPropertymeterPrepareCustom,prepare_eg_propertymeter_webbl
egPropertymeterBtnGo,eg_propertymeter_btn_go_webbl
egPropertyListBtnGo1,eg_propertylist_btn_go1_webbl
egChgReqCreateHistoryCustom,eg_chgreq_create_history_webbl
