service,function
disc1BtnAll,ts_disc1_btn_allbl
disc1Prepare,prepare_ts_disc1bl
disc1Prepare1,prepare_ts_disc1_1bl
hblineBuildAlist1,ts_hbline_build_alist1bl
tablePlanReturnRoom1,ts_tbplan_return_room1bl
tablePlanFlCode,ts_tbplan_fl_codebl
tablePlanReturnRoom,ts_tbplan_return_roombl
restE1Main1,e1_main1_restbl
disc1CalAmount,ts_disc1_cal_amountbl
calcServtaxes,calc_servtaxesbl
transtischBtnExit,ts_transtisch_btn_exitbl
tischnrBuildListSelect,select_tischnr_build_listbl
biltransferCheckDiscart,ts_biltransfer_check_discartbl
mealcouponBuildCompl,ts_mealcoupon_build_complbl
biltransferPrepare,prepare_ts_biltransferbl
biltransferCheckCreditlimit,ts_biltransfer_check_creditlimitbl
rnonstayCheckCreditlimit,ts_rnonstay_check_creditlimitbl
clguestPrepare,prepare_ts_clguestbl
guestAroutstand,guest_aroutstandbl
biltransferCheckVAT,ts_biltransfer_check_vatbl
rnonstayPrepare,prepare_ts_rnonstaybl
biltransfer2,ts_biltransfer2bl
rzinrPrepare,prepare_ts_rzinrbl
rzinrReturnZinr1,ts_rzinr_return_zinr_1bl
rzinrBtnExit,ts_rzinr_btn_exitbl
biltransferUpdateHBill,ts_biltransfer_update_h_billbl
complimentBuildCompl,ts_compliment_build_complbl
rmaster,ts_rmasterbl
rmasterCheckCreditlimit,ts_rmaster_check_creditlimitbl
mastmemberPrepare,prepare_ts_mastmembet_webbl
splitbillSelectLmenu,ts_splitbill_select_lmenubl
splitbillCalBalance,ts_splitbill_cal_balance_webbl
splitbillBuildRmenu,ts_splitbill_build_rmenubl
splitbillSplitBill,ts_splitbill_split_billbl
splitbillPrepare,prepare_ts_splitbillbl
splitbillBtnCcard,ts_splitbill_btn_ccardbl
splitbillSelectRmenu,ts_splitbill_select_rmenubl
splitbillBtnTransferPaytype1,ts_splitbill_btn_transfer_paytype1bl
splitbillBtnCash,ts_splitbill_btn_cashbl
splitbillBtnTransferPaytype5,ts_splitbill_btn_transfer_paytype5bl
splitbillBtnTransferPaytype6,ts_splitbill_btn_transfer_paytype6bl
splitbillMicrosBtnTransfer,ts_splitbill_micros_btn_transferbl
splitbillBtnTransferPaytypegt1,ts_splitbill_btn_transfer_paytypegt1bl
closeinv1Prepare,prepare_ts_closeinv_1bl
oldhbillPrepare,prepare_ts_oldhbillbl
oldhbillBtnExit,ts_oldhbill_btn_exitbl
restInvDispBillLine1,ts_restinv_disp_bill_line_1bl
restInvPostingMenu,ts_restinv_posting_menubl
restInvRunHelp4,ts_restinv_run_help4bl
restInvPayCash2,ts_restinv_pay_cash2bl
hbilllnlPrint,print_hbilllnlbl
readKellner1,read_kellner1bl
tsNeubenutzerPrepare,prepare_ts_neubenutzerbl
ldry1ReportPrepare,prepare_ldry1_reportbl
ldry1ReportBtnGo,ldry1_report_btn_gobl
ldry1ReportSelectUser,ldry1_report_select_userbl
hbillPrint,print_hbill_webbl
splitItemProc,ts_split_item_procbl
splititemPrepare,prepare_ts_splititembl
restInvSplitItem,ts_restinv_split_itembl
restInvUpdateBill11,ts_restinv_update_bill1bl
restInvUpdateHBill,ts_restinv_update_h_billbl
closeinvBtnPayCancel,ts_closeinv_btn_paycancelbl
closeinvBtnStop,ts_closeinv_btn_stopbl
closeinvPayTypegt1,ts_closeinv_pay_typegt1bl
closeinvReadBillGuest,ts_closeinv_read_bill_guestbl
closeinvTransferBlist,ts_closeinv_transfer_blistbl
closeinvUpdateBill1,ts_closeinv_update_bill1bl
closeinvUpdateBill,ts_closeinv_update_billbl
closeinvAdjustComplito,ts_closeinv_adjust_complitobl
rpaymentCheck,check_rpaymentbl
biltransfer,ts_biltransferbl
sphbillPrint,pr_sphbill_webbl
tablePlanReturnGname,ts_tbplan_return_gnamebl
closeinvPayCashPrepare,ts_closeinv_prepare_pay_cashbl
restInvDispBillLine3,ts_restinv_disp_bill_line_webbl
splitbillMoveTable,ts_splitbill_move_tablebl
closeinvPrepare,prepare_ts_closeinv_webbl
restInvBtnKitchen,ts_restinv_btn_kitchenbl
restInvPrintOrderticket,ts_restinv_print_orderticket_webbl
disc1CalculateDisc,ts_disc1_calculate_disc_webbl
kitchenPrinterStatus,ts_kp_statusbl
abfList1,abf_listbl
abfSelectSortingPrepare,prepare_abf_select_sortingbl
abfList2,abf_list_2bl
abfList12,abf_list1_2bl
tablePrepare,prepare_ts_tablebl
tableReturnRoom,ts_table_return_roombl
tableCheckTable,ts_table_check_tablebl
tableCheckCreditlimit,ts_table_check_creditlimitbl
tableBtnAsk1,ts_table_btn_ask1bl
restInvCheckKprProg,ts_restinv_check_kpr_prog_webbl
bfastCardReport,bfast_card_reportbl
bfastCardBtnok,bfast_card_btnokbl
bfastKcardParsingroomdata,bfast_kcard_parsingroomdatabl
tablePlanPrepareCustom,prepare_ts_tbplan_webbl
fbSalesCostReportList1,hums_cost_btn_go_webbl
restInvDispBillLine1Deposit,ts_restinv_disp_bill_line_web_1bl
restInvPayCash7Deposit,ts_restinv_pay_cash7_1bl
restRsvplanPrepare,prepare_rest_rsvplanbl
tsMkresPrepare,prepare_ts_mkres_1bl
restdepositPayPrepare,prepare_ts_restdeposit_paybl
restInvPrepareDeposit,prepare_ts_restinv_1bl
restRsvplanBtnGo,rest_rsvplan_btn_gobl
tsMkresBtnExit,ts_mkres_btn_exit_1bl
tsMkresBtnGcf,ts_mkres_btn_gcfbl
resplanBtnChgDelDeposit,ts_resplan_btn_chg_del_1bl
resplanCheckOpenbill,ts_resplan_check_openbillbl
resplanOpenbill,ts_resplan_openbillbl
restdepositPayBtnExit,ts_restdeposit_pay_btn_exitbl
restdepositPayPrint,ts_restdeposit_pay_printbl
dailySalesReportP21Prepare,prepare_rest_daysalesp2_webbl
dailySalesReportP21,rest_daysalesp2_btn_go_webbl
resplanReprintDeposit,ts_resplan_reprint_depositbl
cashlessCheckSaldo,gcheck_saldo_cashless_webbl
abfList3,abf_list_3bl
hblinePrepare1,prepare_ts_hbline_1bl
rnonstayPrepare1,prepare_ts_rnonstay_1bl
hblineGetCashlessSaldo,ts_hbline_get_cashless_saldobl
hblineGetTaxservice,ts_hbline_get_taxservice_webbl
resplanDeleteDeposit,ts_resplan_delete_depositbl
dailySalesReportP211,rest_daysalesp2_btn_go1_webbl
overCrlimitList,over_crlimit_listbl
overCrlimitListPrepare,prepare_over_crlimit_listbl
roomtransferComboPrepare,ts_prepare_roomtransfer_combobl
roomtransferComboPosting,ts_posting_roomtransfer_combobl
addKitchenDisplay,ts_restinv_add_kdsbl
kdsReportPrepare,prepare_kitchen_display_reportbl
kdsReportLoad,kitchen_display_reportbl
restInvCheckMoveTable,ts_restinv_check_move_table_1bl
tsSeltrans,ts_seltransbl
addKitchenPrinterReprint,add_reprint_kitchprbl
glLinkPosCombo,gl_link_post_combo_webbl
hblineGetTaxservice2,ts_hbline_get_taxservice2_webbl
kitchenDisplayGetdata,kitchen_displaybl
kitchenDisplayPrepare,prepare_kitchen_displaybl
restJournalV2Prepare,prepare_rest_journal_v2bl
restJournalV2List,rest_journal_v2bl
