program_name,table_name,condition_field_names,condition,insert_before_line,variable_condition_field_names,field_value_list,skip_flag
ar-age1_2-list-webBL.p,debitor,,"(Debitor.rechnr > 0) & (Debitor.rgdatum <= to_date) & (((Debitor.artnr >= from_art) & (Debitor.artnr <= to_art) & (Debitor.opart <= 1)) | (Debitor.artnr.in_(get_cache_value_list(Artikel, ""artnr"")) & ((Debitor.opart == 2) & (Debitor.zahlkonto == 0))))",,,rechnr,TRUE
ar-age1_2-list-webBL.p,h_bill,rechnr,"(H_bill.rechnr.in_(get_cache_value_list(Debitor,""rechnr"")))",,,,TRUE
ar-age1_2-list-webBL.p,bill,rechnr,"(Bill.rechnr.in_(get_cache_value_list(Debitor,""rechnr"")))",,,resnr,TRUE
ar-age1_2-list-webBL.p,res_line,resnr,"(Res_line.resnr.in_(get_cache_value_list(Bill, ""resnr"")))",,,,TRUE
prepare-ratecode-adm_2BL.p,queasy,key,"((Queasy.key == 2) & (Queasy.number1 == 0)) | Queasy.key.in_([18,264, 289])",,,,TRUE
prepare-ratecode-adm_2BL.p,queasy,"key,char1",,,,,TRUE
prepare-ratecode-adm_2BL.p,queasy,"key,number1",,,,,TRUE
prepare-ratecode-adm_2BL.p,ratecode,code,Ratecode.endperiode >= cidate,queasy_obj_list = {},endperiode,,FALSE
repeat-glist_1BL.p,res_line,_recid,(Res_line.active_flag <= 2) & (Res_line.resstatus != 9) & (Res_line.resstatus != 10) & (Res_line.resstatus != 12) & (Res_line.resstatus != 99) & (((Res_line.ankunft >= from_date) & (Res_line.ankunft <= to_date)) | ((Res_line.abreise >= from_date) & (Res_line.abreise <= to_date)) | ((Res_line.ankunft <= from_date) & (Res_line.abreise >= to_date))),,,"resnr,gastnr",TRUE
repeat-glist_1BL.p,res_line,"resnr,reslinnr",,,,,TRUE
repeat-glist_1BL.p,res_line,"active_flag,gastnrmember,resnr",,,,,TRUE
repeat-glist_1BL.p,reslin_queasy,"key,resnr,reslinnr","(Reslin_queasy.resnr.in_(get_cache_value_list(Res_line,""resnr"")))",,"date1,date2",,TRUE
repeat-glist_1BL.p,reslin_queasy,"key,char1,resnr,reslinnr,number1,number2,number3",,,,,TRUE
repeat-glist_1BL.p,ratecode,"code,marknr,argtnr,zikatnr,wday,erwachs,kind1,kind2",((Ratecode.startperiode >= from_date) & (Ratecode.startperiode <= to_date)) | ((Ratecode.endperiode >= from_date) & (Ratecode.endperiode <= to_date)) | ((Ratecode.startperiode <= from_date) & (Ratecode.endperiode >= to_date)),,"startperiode,endperiode",,TRUE
repeat-glist_1BL.p,ratecode,"code,marknr,zikatnr,wday,erwachs,kind1,kind2",,,,,TRUE
repeat-glist_1BL.p,ratecode,"code,marknr,argtnr,zikatnr,wday,erwachs",,,,,TRUE
repeat-glist_1BL.p,ratecode,"code,marknr,zikatnr,wday,erwachs",,,,,TRUE
repeat-glist_1BL.p,pricecod,"code,marknr,argtnr,zikatnr",(((Pricecod.startperiode >= from_date) & (Pricecod.startperiode <= to_date)) | ((Pricecod.endperiode >= from_date) & (Pricecod.endperiode <= to_date)) | ((Pricecod.startperiode <= from_date) & (Pricecod.endperiode >= to_date))),,"startperiode,endperiode",,TRUE
repeat-glist_1BL.p,kontplan,"betriebsnr,kontignr,datum",(Kontplan.datum >= from_date) & (Kontplan.datum <= to_date),,,,TRUE
