service,function
gcheckinPrepare,prepare_gcheck_inbl
gcheckinList,gcheck_inbl
roomplanResdataDisp,disp_resdata_roomplanbl
resMemozinrPrepare,prepare_res_memozinrbl
resMemozinr,res_memozinrbl
resFillGCFPhone,res_fill_gcfphonebl
gcfChgBtnSegment,chg_gcf_btn_segmentbl
gcfBtnGo,gcf_btn_gobl
globalReservationControl,glores_controlbl
gcfListPrepare,prepare_gcf_listbl
rmRevenue1,rm_revenue_1bl
rmRev1,rm_rev1bl
rmHislist,rm_hislistbl
reactivate1,reactivate_1bl
reactivate11,reactivate1_1bl
resCheckin1,res_checkin1bl
resCheckinAssign,res_checkin_assignbl
resCheckin2,res_checkin2bl
deposit2Bill,deposit2billbl
selectSegmpurPrepare,prepare_select_segmpurbl
resAssignZi,res_assign_zibl
gcf0ContactPrepare,prepare_gcf0_contactbl
delRoomplan,del_roomplanbl
createRoomplan,create_roomplanbl
updateRmstatus,update_rmstatusbl
rmDrecap2Prepare,prepare_rm_drecap2bl
rmDrecap3,rm_drecap3bl
resListPrepare,prepare_res_listbl
guestMerge,merged_guestbl
guestTypeChg,change_guesttypebl
gcf0Contact,gcf0_contactbl
gcf0ContactBtnMainkont,gcf0_contact_btn_mainkontbl
gcf0ContactBtnDelname,gcf0_contact_btn_delnamebl
resList,res_list_webbl
checkinGroup,group_cibl
loadRevenueReport,revenue_report_1bl
loadRmcompSegmentList,rmcomp_segment_webbl
prepareRmStat,prepare_rm_stat2bl
loadGuestSegmentByRoom,rmcat_segment_webbl
prepareMKMainres,prepare_mk_mainresbl
loadPJInhouse2,pj_inhouse2_btn_go_2_webbl
anzahlAssign,assign_anzahlbl
reslineDelete,del_reslinebl
reservationDelete,del_reservebl
rmInfo,rminfobl
resList1,res_list_1bl
reservationPrepare,prepare_reservationbl
reservation,reservationbl
reservationBtnCheckin,reservation_btn_checkinbl
mainresListUpdate,update_mainres_listbl
reservationBtnRescancel,reservation_btn_rescancelbl
reservationBtnDel,reservation_btn_delbl
reservationView,view_reservationbl
reservationBtnNew,reservation_btn_newbl
resGname1Prepare,prepare_res_gname1bl
resGname1,res_gname1bl
gcfCreate,create_gcfbl
gcfPrint,gcf_print_1bl
